"","prey_scientific_name","mean_SL","sd_SL","n_SL","se_SL"
"1","Atherinopsis californiensis",201.78,40.22,11,12.13
"2","Clupea pallasii pallasii",106.96,50.03,495,2.25
"3","Engraulis mordax",106.47,33.61,10951,0.32
"4","Sardinops sagax",164.82,49.34,6172,0.63
"5","Scomber japonicus",222.69,54.7,2757,1.04
"6","Trachurus symmetricus",165.12,54.73,3813,0.89
